Date,Branch_Transactions,ATM_Transactions,Mobile_App_Transactions,Net_Banking_Transactions
2023-01-01,124,105,486,63
2023-01-02,399,247,328,222
2023-01-03,271,184,535,263
2023-01-04,276,181,537,234
2023-01-05,249,268,435,257
2023-01-06,322,224,437,96
2023-01-07,148,99,304,205
2023-01-08,147,67,458,186
2023-01-09,264,249,724,134
2023-01-10,290,213,728,155
2023-01-11,253,162,622,157
2023-01-12,257,209,530,264
2023-01-13,304,209,489,121
2023-01-14,140,102,355,56
2023-01-15,93,98,493,250
2023-01-16,290,171,462,137
2023-01-17,339,285,430,128
2023-01-18,350,212,533,295
2023-01-19,231,144,483,203
2023-01-20,282,298,468,166
2023-01-21,156,138,327,141
2023-01-22,199,142,421,295
2023-01-23,399,143,330,247
2023-01-24,368,191,449,150
2023-01-25,241,245,461,218
2023-01-26,208,240,558,119
2023-01-27,312,200,454,25
2023-01-28,116,112,345,136
2023-01-29,224,96,190,138
2023-01-30,304,166,573,112
2023-01-31,293,141,470,242
2023-02-01,291,191,502,204
2023-02-02,334,227,642,210
2023-02-03,216,234,634,347
2023-02-04,222,80,418,133
2023-02-05,129,95,528,54
2023-02-06,249,248,645,160
2023-02-07,382,239,473,53
2023-02-08,216,173,575,245
2023-02-09,276,190,496,186
2023-02-10,308,198,332,187
2023-02-11,148,139,316,162
2023-02-12,178,94,224,210
2023-02-13,337,209,504,93
2023-02-14,338,259,388,280
2023-02-15,356,154,460,116
2023-02-16,296,217,367,223
2023-02-17,331,226,545,126
2023-02-18,143,114,546,150
2023-02-19,171,62,284,73
2023-02-20,278,282,459,221
2023-02-21,327,156,456,237
2023-02-22,321,120,559,166
2023-02-23,273,216,652,187
2023-02-24,358,142,513,167
2023-02-25,164,88,265,96
2023-02-26,67,47,448,134
2023-02-27,311,272,470,238
2023-02-28,301,310,198,156
2023-03-01,332,169,556,196
2023-03-02,343,154,517,227
2023-03-03,306,205,620,99
2023-03-04,156,51,475,99
2023-03-05,26,131,373,171
2023-03-06,371,214,516,197
2023-03-07,242,191,697,177
2023-03-08,292,250,345,237
2023-03-09,220,215,497,236
2023-03-10,249,178,566,169
2023-03-11,187,108,355,131
2023-03-12,150,91,473,127
2023-03-13,271,236,457,167
2023-03-14,175,158,416,167
2023-03-15,263,239,422,157
2023-03-16,307,155,656,248
2023-03-17,241,240,622,131
2023-03-18,91,75,258,103
2023-03-19,129,120,408,141
2023-03-20,275,147,559,234
2023-03-21,269,155,655,214
2023-03-22,319,217,379,289
2023-03-23,279,232,645,204
2023-03-24,240,100,496,215
2023-03-25,120,105,443,209
2023-03-26,138,98,382,152
2023-03-27,274,179,454,209
2023-03-28,257,181,680,253
2023-03-29,252,234,562,193
2023-03-30,264,167,522,149
2023-03-31,354,255,495,268
2023-04-01,129,71,510,244
2023-04-02,248,113,486,168
2023-04-03,370,217,580,131
2023-04-04,288,232,572,253
2023-04-05,306,173,494,202
2023-04-06,312,161,473,194
2023-04-07,187,233,516,215
2023-04-08,124,123,316,109
2023-04-09,181,114,272,244
2023-04-10,262,194,674,76
2023-04-11,214,217,252,77
2023-04-12,358,183,719,137
2023-04-13,284,221,547,184
2023-04-14,267,209,637,245
2023-04-15,118,60,330,73
2023-04-16,157,132,392,253
2023-04-17,388,212,570,145
2023-04-18,281,250,442,289
2023-04-19,355,230,382,181
2023-04-20,332,160,480,245
2023-04-21,271,166,319,176
2023-04-22,188,65,401,136
2023-04-23,116,133,564,210
2023-04-24,265,279,600,172
2023-04-25,261,244,517,148
2023-04-26,292,183,417,260
2023-04-27,339,233,582,145
2023-04-28,269,258,510,111
2023-04-29,160,126,452,93
2023-04-30,244,39,411,254
2023-05-01,329,233,394,220
2023-05-02,298,154,586,150
2023-05-03,264,217,485,210
2023-05-04,289,256,407,172
2023-05-05,324,160,396,208
2023-05-06,193,139,409,109
2023-05-07,163,122,426,224
2023-05-08,249,172,609,111
2023-05-09,273,170,343,188
2023-05-10,337,206,579,271
2023-05-11,280,305,465,187
2023-05-12,264,221,470,195
2023-05-13,139,90,415,122
2023-05-14,129,142,370,173
2023-05-15,255,182,376,311
2023-05-16,368,223,715,246
2023-05-17,291,214,636,147
2023-05-18,241,216,441,64
2023-05-19,237,187,504,204
2023-05-20,250,91,427,52
2023-05-21,148,113,262,93
2023-05-22,324,178,489,232
2023-05-23,401,191,676,82
2023-05-24,307,186,446,239
2023-05-25,289,119,341,243
2023-05-26,218,229,512,189
2023-05-27,145,120,282,152
2023-05-28,93,106,464,159
2023-05-29,330,171,493,185
2023-05-30,284,167,456,133
2023-05-31,215,171,562,214
2023-06-01,237,183,569,173
2023-06-02,229,290,483,130
2023-06-03,158,96,245,155
2023-06-04,199,90,193,170
2023-06-05,330,176,442,335
2023-06-06,267,155,502,234
2023-06-07,326,101,433,269
2023-06-08,316,150,624,257
2023-06-09,285,235,699,136
2023-06-10,177,179,465,104
2023-06-11,161,154,298,148
2023-06-12,287,174,524,193
2023-06-13,332,245,372,204
2023-06-14,297,208,498,141
2023-06-15,372,275,554,235
2023-06-16,306,238,255,199
2023-06-17,121,105,509,151
2023-06-18,131,43,389,190
2023-06-19,257,119,727,220
2023-06-20,288,255,514,279
2023-06-21,362,149,545,303
2023-06-22,250,160,418,253
2023-06-23,314,122,534,184
2023-06-24,144,66,434,213
2023-06-25,117,32,369,195
2023-06-26,278,140,576,284
2023-06-27,301,135,468,209
2023-06-28,259,223,409,201
2023-06-29,288,224,498,188
2023-06-30,259,201,473,147
2023-07-01,157,114,366,205
2023-07-02,163,48,533,196
2023-07-03,350,216,266,265
2023-07-04,303,214,554,316
2023-07-05,272,179,414,135
2023-07-06,247,125,542,319
2023-07-07,402,165,472,274
2023-07-08,171,105,374,220
2023-07-09,96,119,434,152
2023-07-10,339,201,446,205
2023-07-11,220,224,586,160
2023-07-12,255,175,493,212
2023-07-13,380,259,583,207
2023-07-14,253,267,475,216
2023-07-15,181,102,515,177
2023-07-16,199,117,396,154
2023-07-17,296,148,399,244
2023-07-18,237,183,394,172
2023-07-19,292,183,357,188
2023-07-20,252,174,574,257
2023-07-21,234,262,448,163
2023-07-22,105,102,598,57
2023-07-23,47,110,456,153
2023-07-24,329,154,405,207
2023-07-25,387,222,560,135
2023-07-26,321,152,676,139
2023-07-27,260,141,508,202
2023-07-28,375,231,420,252
2023-07-29,87,71,411,82
2023-07-30,203,191,370,110
2023-07-31,293,177,526,120
2023-08-01,315,276,299,129
2023-08-02,277,221,589,248
2023-08-03,215,173,409,196
2023-08-04,300,145,456,234
2023-08-05,118,91,569,269
2023-08-06,41,104,691,178
2023-08-07,300,252,521,242
2023-08-08,289,208,542,251
2023-08-09,278,181,307,176
2023-08-10,347,218,400,85
2023-08-11,292,236,452,113
2023-08-12,120,113,524,134
2023-08-13,202,137,282,225
2023-08-14,314,151,676,192
2023-08-15,202,171,404,159
2023-08-16,277,189,470,194
2023-08-17,329,170,618,126
2023-08-18,330,265,482,211
2023-08-19,101,79,556,194
2023-08-20,170,22,328,254
2023-08-21,320,221,517,163
2023-08-22,316,138,339,155
2023-08-23,309,137,512,140
2023-08-24,257,251,503,145
2023-08-25,309,141,538,266
2023-08-26,183,186,206,157
2023-08-27,82,93,400,286
2023-08-28,297,196,600,196
2023-08-29,391,226,582,87
2023-08-30,399,173,499,160
2023-08-31,248,151,510,81
2023-09-01,287,242,563,225
2023-09-02,105,36,504,123
2023-09-03,145,92,467,260
2023-09-04,373,106,469,119
2023-09-05,346,200,560,176
2023-09-06,248,165,346,124
2023-09-07,226,158,390,223
2023-09-08,317,215,617,195
2023-09-09,110,188,490,159
2023-09-10,154,111,379,157
2023-09-11,324,170,336,75
2023-09-12,344,136,546,130
2023-09-13,243,171,519,122
2023-09-14,269,198,378,285
2023-09-15,213,191,627,120
2023-09-16,144,105,319,145
2023-09-17,178,81,476,173
2023-09-18,270,245,425,251
2023-09-19,263,187,483,220
2023-09-20,179,218,489,217
2023-09-21,325,215,299,136
2023-09-22,316,207,421,244
2023-09-23,137,135,521,166
2023-09-24,177,75,489,163
2023-09-25,285,151,451,133
2023-09-26,338,248,591,349
2023-09-27,276,223,381,188
2023-09-28,226,222,464,76
2023-09-29,265,271,541,246
2023-09-30,156,92,401,164
2023-10-01,95,130,512,138
2023-10-02,273,170,675,172
2023-10-03,332,192,475,154
2023-10-04,251,229,400,227
2023-10-05,304,230,439,264
2023-10-06,292,303,338,345
2023-10-07,143,108,339,55
2023-10-08,123,85,418,217
2023-10-09,309,208,538,94
2023-10-10,216,140,462,87
2023-10-11,265,145,548,226
2023-10-12,284,124,476,219
2023-10-13,340,270,611,209
2023-10-14,135,70,535,159
2023-10-15,181,76,275,125
2023-10-16,284,207,426,201
2023-10-17,358,133,288,274
2023-10-18,226,184,560,196
2023-10-19,296,202,751,306
2023-10-20,265,242,550,198
2023-10-21,104,118,369,127
2023-10-22,111,139,323,104
2023-10-23,338,194,488,261
2023-10-24,365,114,487,115
2023-10-25,280,199,464,138
2023-10-26,246,229,653,76
2023-10-27,283,229,496,133
2023-10-28,126,112,369,147
2023-10-29,149,79,481,121
2023-10-30,249,289,492,43
2023-10-31,362,250,545,237
2023-11-01,407,161,513,318
2023-11-02,409,185,701,248
2023-11-03,374,230,530,332
2023-11-04,123,176,606,231
2023-11-05,146,109,272,122
2023-11-06,331,142,470,316
2023-11-07,292,241,556,181
2023-11-08,292,206,294,256
2023-11-09,294,239,538,190
2023-11-10,309,208,647,203
2023-11-11,164,49,395,237
2023-11-12,171,56,302,105
2023-11-13,349,235,154,195
2023-11-14,307,161,460,279
2023-11-15,320,180,481,186
2023-11-16,314,142,433,262
2023-11-17,296,166,419,243
2023-11-18,124,120,337,82
2023-11-19,162,96,468,203
2023-11-20,282,213,461,238
2023-11-21,311,175,429,216
2023-11-22,358,236,405,149
2023-11-23,265,176,318,247
2023-11-24,277,218,468,198
2023-11-25,115,98,312,148
2023-11-26,222,120,429,70
2023-11-27,328,226,526,212
2023-11-28,292,225,639,219
2023-11-29,251,164,572,142
2023-11-30,310,186,392,249
2023-12-01,335,145,548,220
2023-12-02,191,106,542,142
2023-12-03,136,61,306,88
2023-12-04,310,189,533,127
2023-12-05,257,165,716,190
2023-12-06,296,196,655,103
2023-12-07,297,135,262,155
2023-12-08,320,168,539,206
2023-12-09,143,150,340,172
2023-12-10,59,103,374,79
2023-12-11,319,170,673,53
2023-12-12,312,201,471,168
2023-12-13,303,242,332,151
2023-12-14,247,156,534,235
2023-12-15,353,224,568,115
2023-12-16,224,91,503,67
2023-12-17,137,137,402,104
2023-12-18,365,153,497,238
2023-12-19,404,181,472,173
2023-12-20,311,223,609,245
2023-12-21,275,232,509,244
2023-12-22,340,265,464,167
2023-12-23,172,147,405,224
2023-12-24,184,91,456,123
2023-12-25,311,157,493,259
2023-12-26,338,224,528,209
2023-12-27,236,191,518,132
2023-12-28,212,245,505,212
2023-12-29,327,160,459,290
2023-12-30,125,89,333,105
2023-12-31,205,0,354,163
2024-01-01,384,154,369,148
2024-01-02,335,205,355,205
2024-01-03,377,210,516,213
2024-01-04,320,149,476,189
2024-01-05,275,227,436,178
2024-01-06,86,115,494,128
2024-01-07,190,94,147,146
2024-01-08,291,204,525,158
2024-01-09,373,197,480,244
2024-01-10,300,302,479,221
2024-01-11,262,234,530,179
2024-01-12,256,147,541,116
2024-01-13,215,49,382,97
2024-01-14,151,101,444,58
2024-01-15,261,238,565,50
2024-01-16,318,158,440,186
2024-01-17,377,158,359,227
2024-01-18,298,248,464,272
2024-01-19,300,221,662,189
2024-01-20,202,75,422,63
2024-01-21,124,57,522,254
2024-01-22,282,169,368,215
2024-01-23,269,178,662,182
2024-01-24,329,202,364,89
2024-01-25,324,268,531,237
2024-01-26,254,240,600,158
2024-01-27,177,29,472,115
2024-01-28,88,116,222,170
2024-01-29,243,146,505,189
2024-01-30,372,148,637,131
2024-01-31,345,244,532,152
2024-02-01,223,121,685,182
2024-02-02,244,154,516,176
2024-02-03,54,134,433,260
2024-02-04,207,0,541,222
